title,price,description
Тайтси Salewa Zebru Responsive Tight Mns,3 040 грн2 432 грн,"
	Чоловічі тайтси для трекінгу та активного відпочинку. У складі є високий відсоток вовни мериноса, завдяки чому, штани відмінно зберігають тепло, навіть у вологому стані. Вони добре тягнуться, дихають та швидко сохнуть, що важливо під час походів у гори. Анатомічний крій та відсутність швів роблять тайтси ""невагомими"", їх майже не відчутно на тілі. Тайтси можна використовувати як базовий або основний шар одягу під час гірських подорожей.

Призначення: трекінг, альпінізм, походи в гори, активний відпочинок.

Особливості:
	- із вовни мерінос - зберігають тепло навіть у вологому стані
	- добре тягнуться
	- дихаючі
	- швидко сохнуть
	- анатомічний крій
	- без швів

Технічні характеристики:
	Матеріал: Alpine Wool Nylon Yarn Blend (83% WO 17% PA), Responsive Nylon Yarn (100% PA)
	Довжина: 88 см (розмір L)
	Вага: 130 г (розмір L)
"
Термоштани Salewa Cristallo 3/4 Mns,2 807 грн2 246 грн,"
Salewa Cristallo 3/4 Mns - чоловічі термоштани довжиною 3/4. У складі є вовна меринос, ідеально для інтенсивного трекінгу та активного відпочинку. Термоштани чудово зберігають тепло, добре дихають і не вбирають неприємні запахи, що дуже важливо під час тривалих походів в гори.

	Анатомічний крій ідеально підходить для чоловічої фігури і не сковує рухів. Такі штани створені для занять спортом, мандрівок у гори та активного відпочинку.

Призначення: походи в гори, відпочинок на природі, трекінг, туризм, заняття спортом.

Особливості: 
	- довжина 3/4
	- у складі вовна меринос
	- тканина схвалена bluesign
	- добре зберігають тепло
	- швидко сохнуть
	- не вбирають неприємні запахи
	- анатомічний крій, плоскі шви
	- можна прати у пральній машинці

Технічні характеристики: 
	Матеріал: Alpine Merino Responsive Jersey Bluesign 145 g/sqm (78% Wool 22% Polyamide)
	Довжина по внутрішньому шву: 81 см (розмір L)
	Вага: 155 гр (розмір L)

Матеріали і технології:
Alpine Merino Responsive - гібридна тканина, що складається з 78% вовни мериноса і 22% поліаміду. Добре відводить вологу і швидко сохне. 
"
Термоштани Dynafit Speed Dryarn 3/4 Mns Tights,2 163 грн1 730 грн,"
Dynafit Speed Dryarn 3/4 Mns Tights - функціональні чоловічі штани довжиною 3/4. Виготовлені із тканини Dryarn - швидко сохне, розтягується та підтримує комфортний мікроклімат. Завдяки безшовній технології дарують відмінну посадку. Можна використовувати як базовий шар одягу під час лижного спорту.

Особливості:
	- чоловічі
	- довжиною 3/4
	- із тканини Dryarn
	- швидко сохнуть
	- розтягуються
	- підтримують комфортний мікроклімат
	- безшовна технологія
	- відмінна посадка
	- базовий шар одягу під час лижного спорту

Технічні характеристики:
	Матеріал: Elastane 3%, Polyamide 58%, Polypropylene 39%
	Вага: 115г
	 
"
Термоштани Turbat Retezat Bottom Mns,725 грн,"
	Чоловічі термоштани, які відмінно відводить вологу. У складі є вовна меринос (15%), яка відома своїми природними зігріваючими властивостями. Завдяки пропорції вовни та поліестру (15/85), цю річ комфортно використовувати у подорожах протягом декількох днів та тривалих походах, адже вона стійкіша до утворення запаху і швидше сохне.

	Крій і плоскі шви забезпечує свободу рухів і комфорт . Ці термоштани підійдуть як для для гірських мандрівок, походів Карпатами, катання на лижах із середнім навантаженням, під час подорожей з комбінованою програмою місто+природа, використання в місті в холодні дні.

Призначення: хайкінг, гірські походи, кемпінг, відпочинок на природі, подорожі, використання у місті.

Особливості:
	- у складі є вовна овець меринос (15%)
	- відмінна терморегуляція
	- швидко абсорбує та відводить вологу
	- стійкіша до утворення запаху
	- швидко сохне
	- плоскі шви
	- анатомічний крій

Технічні характеристики:
	Матеріал: 85% поліестер, 15% вовна меринос, 140 г/м2
	 
"
Термоштани Turbat Versa Bottom,525 грн,"
	Нові всесезонні чоловічі термоштани від українського виробника Turbat. Нова технологічна двошарова тканина забезпечує швидке висихання та виведення вологи під час активного руху. Дана модель надзвичайно легка та еластична. Анатомічний крій, плоскі шви роблять Versa майже не відчутними на тілі, тому вони повторюють кожен ваш рух. Їх можна використовувати як основний шар одягу у теплу пору або як перший шар під час активного руху у холодну. Можна використовувати розом із термофутболкою Turbat Versa Top.

Застосування: всесезонні походи в гори, альпінізм, катання на лижах, повсякденне використання у місті

Особливості:
	- двошарова тканина: вивід вологи + зігріваючий ефект
	- еластичний матеріал не сковує рухи
	- швидкий вивід вологи
	- плоскі шви
	- анатомічний крій

Характеристики:
	Матеріал: 100% стретч-поліестер, 180 г/м 2
	Вага: 165 г (розмір М)
Зроблено в Україні
"
Термоштани Turbat Yeti Bottom Mns,925 грн,"
	Теплі чоловічі термоштани, створені для малорухливого та статичного використання в холодний період. Вони дуже еластичні, добре прилягають до тіла і забезпечують ефективне відведення вологи.

	Термоштани можуть використовуватись як основний шар одягу під час активного використання у міжсезоння, при потребі поєднуючи з мембранними, вітрозахисними чи утеплюючими штанами. Ще, їх можна використовувати для ночівлі взимку в наметі.

Призначення: щоденне використання у місті в холодну погоду, трекінг, подорожі, зимові ночівлі в наметі.

Особливості:
	- для статичного використання і в холодну погоду
	- основний або базовий шар одягу
	- добре прилягає
	- ефективно зберігає тепло

Технічні характеристики:
	Матеріал: Polyester: 86% Spandex 14%, 288 g/m²
	Вага: 275 г (розмір M)
	 
"
Штани Dynafit FT Dryarn Warm,2 662 грн,"
	Універсальні чоловічі штани ергономічного крою від Dynafit. Ідеальний вибір для любителів спорту та інтенсивних тренувань у прохолодну погоду. Функціональний матеріал у поєднанні з бездоганним дизайном робить дану модель надзвичайно практичною. Завдяки еластичному матеріалу штани чудово тягнуться і забезпечують максимальну свободою рухів у всіх напрямках. Dynafit FT Dryarn Warm ідеальні для активного спорту та усіх різновидів спортивних активностей.

Призначення: заняття спортом, велосипед, біг, фітнес, ігрові види спорту, повсякденне використання, тренування у прохолодну погоду, активний відпочинок.

Особливості:
	- еластичний матеріал
	- повітропроникні властивості
	- безшовна конструкція

Технічні характеристики:
	Матеріали: Elastane 4 % / Polyamide 41 % / Polypropylene 55 %
	Вага: 163 г

Матеріали і технології:
Dryarn - це інноваційне мікроволокно з поліпропілену. Володіє природними бактеріостатичними властивості. Гіпоаллергенна і абсолютно нешкідливо навіть для найчутливіших типів шкіри. Поліпропілен легше води, практично не вбирає вологу, швидко висихає (по швидкості висихання перевершує всі відомі натуральні і синтетичні волокна).
"
Термоштани Dynafit Tour Light Merino 3/4 Tight Mns,2 662 грн,"
	Чоловічі термоштани довжиною 3/4, що швидко сохнуть, від Dynafit. Це практичний базовий шар для теплого одягу. Вони виготовлені з суміші вовни мериноса та дуже легкого дихаючого волокна Dryarn. Ця інноваційна суміш волокон дозволяє отримати тканину з надзвичайно швидким висиханням, яка забезпечує відмінний контроль температури й вологості. Натуральні антимікробні властивості вовни мериноса запобігають накопиченню неприємних запахів у дні інтенсивної активності.

	Поєднання вовни мериноса та синтетичних волокон означає, що термоштани забезпечують більшу еластичність, ніж базовий шар із чистої вовни мериноса. У термоштанів немає швів, тому вони м'які та приємні на дотик. У поєднанні з термоштанами Dynafit Tour Light Merino Longsleeve, вони забезпечать тепло та стануть ідеальним першим шаром для лижних турів.

Призначення: скітур, активний зимовий відпочинок, повсякденне носіння.

Особливості:
	- зберігає тепло вашого тіла, зігріваючи в холодну пору
	- забезпечує повітропроникність, дозволяючи шкірі дихати
	- добре тягнуться
	- антизапах: блокує виникнення неприємних запахів
	- мало важать і практично не відчувається на тілі
	- дуже швидко висихають, що особливо зручно в походах
	- стильний і зручний дизайн
	- безшовна конструкція забезпечує особливий комфорт
	- швидко вбирають вологу, тому ваша шкіра залишається сухою

Технічні характеристики:
	Вага: 92 г
	Матеріали: шерсть мериноса 78%, поліпропілен 22%

Матеріали і технології:

Вовна меринос - вовна австралійський овець породи ""меринос"", яка відмінно зберігає тепло навіть у вологому стані.
"
Термоштани Lasting Andy,817 грн,"
	Чоловічі термоштани із синтетичної тканини від бренду Lasting. Зберігають тепло під час активного заняття спортом, відводять вологу та швидко сохнуть. Анатомічний крій дарує повну свободу рухів. Білизна має анатомічно розташовані зони у місцях підвищеної пітливості та мінімальну кількість швів для максимального комфорту.

Призначення: зимові види спорту, трекінг, велоспорт, альпінізм, заняття спортом

Особливості:
	- товста термобілизна (heavy 320 г/м2)
	- анатомічно розташовані зони у місцях підвищеної пітливості
	- тонкий плоский шов
	- еластичний матеріал, облягає тіло
	- швидко сохне
	- циркуляція повітря та вологовідведення
	- мінімальна кількість швів для більшого комфорту

	Рекомендується купувати у комбінації з термофутболкою Angel

Технічні характеристики:
	Матеріал: 70% поліестер, 24% поліамід, 6% еластан

Матеріали і технології:
	Seamless - безшовна функціональна білизна з анатомічно розташованими зонами, які забезпечують вентиляцію і швидке випаровування поту в місцях підвищеної пітливості. Відмінне облягання тіла сприяє функціональності і забезпечує оптимальну теплорегуляцію. Мінімальна кількість швів та анатомічна форма забезпечують максимальний комфорт і рухливість під час занять спортом.

* Безшовна – категорія термобілизни, що виготовлена із застосуванням мінімальної кількості швів.

	 
"
Термоштани Lasting Ateo,758 грн,"
	Чоловічі термоштани з синтетичної тканини.
	Всесезонна термобілизна підійде для спорту (біг, тренажерний зал тощо), трекінгу, активного катання на лижах, а також для альпінізму.
	Швидко виводить вологу з поверхні шкіри та зберігає тепло під час активного заняття спортом або іншою рухомою діяльністю. Білизна має анатомічно розташовані зони у місцях підвищеної пітливості та мінімальну кількість швів для максимального комфорту.

Застосування: зимові види спорту, трекінг, велоспорт, альпінізм, заняття спортом

Матеріал: 97% siltex (поліпропілен), 3% еластан

Особливості:
	- тонкої товщини (180 г/м2)
	- анатомічно розташовані зони у місцях підвищеної пітливості
	- тонкий плоский шов
	- еластичний матеріал, облягає тіло
	- швидко сохне
	- циркуляція повітря та вологовідведення
	- захисна зона – запобігає швидкому зношуванню в місцях підвищеної рухливості
	- мінімальна кількість швів для більшого комфорту
	- Stop Bacteria - запобігає розмноженню бактерій та появі неприємного запаху

	Рекомендується купувати в комбінації з термофутболкою Apol

Матеріали і технології: 

Seamless 
	Безшовна* функціональна білизна з анатомічно розташованими зонами, які забезпечують вентиляцію і швидке випаровування поту в місцях підвищеної пітливості. Відмінне облягання тіла сприяє функціональності і забезпечує оптимальну теплорегуляцію. Мінімальна кількість швів та анатомічна форма забезпечують максимальний комфорт і рухливість під час занять спортом.

Siltex - штучне волокно, що володіє надзвичайно низькою здатністю вбирати вологу. Волокна забезпечують максимально швидкий і ефективний відвід виділеної організмом вологи від тіла завдяки капілярному ефекту та виключно гладкій поверхні. Ваша шкіра залишиться сухою навіть при підвищених фізичних навантаженнях. Волокно Siltex відрізняється низькою питомою теплопровідністю, що дозволяє підтримувати ідеальний тепловий режим вашої термобілизни навіть в умовах низьких температур.

* Безшовна – категорія термобілизни, що виготовлена із застосуванням мінімальної кількості швів.


"
Термоштани Lasting Atok,1 896 грн,"
	Чоловічі шерстяні (шерсть меріно) термоштани від бренду Lasting. Добре зберігають тепло, забезпечують швидке випаровування поту та ідеальну сухість шкіри під час занять спортом або іншими активностями. Штани м`які та приємні на дотик, «не колються», довго зберігають свіжість. Плоскі шви не натирають та дарують повну свободу рухів. Цю всесезонну термобілизну можна використовувати як перший шар одягу у холодний період, або як єдиний шар у теплу пору року.

Призначення: місто, трекінг, зимові види спорту, полювання, рибальство.

Детальніше про шерстяну термобілизну Lasting...

Особливості:
	- чоловічі
	- із шерсті меріно
	- всесезонні (взимку зігрівають, влітку охолоджують)
	- добре зберігають тепло навіть у вологому стані
	- швидке випаровування поту
	- ідеальна сухість шкіри
	- м`які та приємні на дотик
	- «не колються»
	- довго зберігають свіжість
	- плоскі шви не натирають
	- можна використовувати як перший або єдиний шар одягу

	Рекомендується купувати в комбінації з термофутболкою Atar

Технічні характеристики:
	Матеріал: 100% шерсть (Merino wool 160 g Light)

Матеріали і технології: 
Woolsens Light (160 g)  - 100% merino wool, тонкий, гладкий матеріал, товщина нитки 16 мікрон. Термобілизна з цього матеріалу підійде в якості першого шару одягу, який прилягає прямо до тіла, в демісезонний період, або як єдиний шар у літній сезон. Приємний на дотик матеріал відрізняється високою повітропроникністю і легкістю.
Merino wool  - високоякісна тонка пряжа з шерсті австралійських овець-мериносів гарантує відмінні теплові характеристики, суху шкіру і контроль над вологою. Крім того, ця пряжа швидко вбирає вологу і не подразнює шкіру.



	 
"
Термоштани Lasting Bezy Mns,1 998 грн,"
Lasting Bezy Mn`s - чоловічі термоштани. Виготовлені із 100% вовни мерінос (18 мікрон). Не вбирають неприємні запахи, зігрівають і створюють оптимальний мікроклімат, як в жарких, так і холодних умовах. Крій класичний, усі шви плоскі – не натирають. Розроблені для умов, коли потрібен легкий та дихаючий одяг, у якому буде комфортно під час активностей (спорт, походи, експедиції). Термоштани підходять як базовий шар одягу протягом осені-зими.

Особливості:
	- чоловічі
	- із вовни меріноса
	- швидкий відвід вологи
	- не вбирають неприємні запахи
	- повітропроникність
	- комфортний мікроклімат
	- класичний крій
	- плоскі шви
	- базовий шар протягом осені-зими

Технічні характеристики:
	Матеріал: 100% вовна мерінос
	Товщина: 230г/ м²

Матеріали та технології:
Merino wool - вовна породи овець, яку розводять в горах Австралії та Нової Зеландії. Має унікальні властивості, які допомагають використовувати її як влітку, так і взимку. Її волокна дуже тонкі (5 волокон, як одна людська волосина). Мерінос залишає речі свіжими довше і дозволяє вбирати вологу (до 30% від власної ваги) і відводити її, а також зігрівати у вологому стані.
	 
"
Термоштани Lasting Lexy,1 838 грн,"
	Зручні чоловічі термоштани від Lasting. Штани виготовлені із унікальної вовни меринос, зберігають свої теплоізоляційні властивості навіть у вологому стані. Ці термоштани антибактеріальні, вони не вбирають неприємні запахи, що важливо під час подорожей. Ергономічний крій та плоскі шви гарантують повну свободу рухів. Ці штани спеціально розроблені для активного відпочинку та занять спортом.

Призначення: заняття спортом, походи в гори, трекінг, прогулянки у місті.

Особливості: 
	- із вовни меринос
	- зберігають свої теплоізоляційні властивості навіть у вологому стані
	- антибактеріальні
	- не вбирають неприємні запахи
	- ергономічний крій
	- плоскі шви

Технічні характеристики:
	Матеріал: 100% вовна меринос, 160 г, 18 мікрон

Матеріали і технології:
	Вовна меринос - вовна особливої породи австралійських овець меринос. Володіє відмінними теплоізоляційними та антибактеріальними властивостями. Вбирає вологу та гріє, навіть коли намокне.
"
Термоштани Lasting Skil,846 грн,"
	Функціональні чоловічі термоштани Lasting Skil виготовлені із приємного на дотик трикотажного матеріалу, який забезпечує відмінну вентиляцію та ефективний відвід вологи під час інтенсивних фізичних навантажень. Анатомічний крій та мінімальна кількість швів гарантують комфорт та максимальну свободу рухів. Рекомендується поєднувати із чоловічою термофутболкою Lasting Stem.

Призначення: заняття спортом, активний відпочинок, щоденне носіння

Особливості:
	- термобілизна з теплого трикотажного матеріалу (Heavy 260 g)
	- відмінне облягання забезпечує оптимальну терморегуляцію
	- зручний крій та мінімум швів для забезпечення повної свободи рухів
	- швидкий відвід поту та ефективна вентиляція ділянок з підвищеною пітливістю

Матеріали: 55% Polyamide, 40% Polypropylene, 5% Elastane

Технології:
Seamless - безшовна термобілизна з анатомічними зонами, які гарантують ефективну вентиляцію, швидке відведення поту від тіла та забезпечення оптимальної терморегуляції. Для більшого комфорту та свободи рухів передбачений прилягаючий крій та мінімальна кількість плоских швів.
	 
"
Термоштани Lasting Tono,875 грн,"
	Чоловічі термоштани середньої товщини.

	Вони легкі, зручні та мають посилені до стирання зони. Термоштани не викликають алергічних реакцій, добре поглинають вологу, не сприяють утворенню неприємного запаху. Підійдуть для використання під час активного руху та для найрізноманітніших видів спорту.

Особливості:
	- пласкі шви
	- посилена до стирання тканина у деяких зонах
	- натуральні матеріали
	- оброблені за допомогою іонів срібла, що забезпечує захист від бактерій та утворення неприємного запаху
	- забезпечують оптимальну терморегуляцію
	- дані термоштани можна використовувати із термофутболкою Lasting Tolo

Матеріал: 35% поліпропілен, 31% поліестер, 25% поліамід, 9% еластан
Товщина: середня (200 г/м2)
"
Термоштани Lasting UP51,583 грн,"
	Зручні чоловічі термоштани від бренду Lasting. Виготовлена із синтетичного матеріалу Siltex, дуже швидко сохнуть. Штани мають антибактеріальні властивості і не вбирають неприємні запахи, що важливо під час багатоденних походів. Ергономічний крій та плоскі шви дарують повну свободу рухів. Такі штани відмінно підійдуть для гірського трекінгу та літніх видів спорту. 

Призначення: трекінг, хайкінг, літні види спорту.

Особливості: 
	- із синтетичного матеріалу Siltex
	- антибактеріальні властивості
	- не вбирають неприємні запахи
	- ергономічний крій
	- плоскі шви

Технічні характеристики:
	Матеріал: 90% Siltex, 10% Polyamide
"
Термоштани Lasting Wateo,1 459 грн,"
	Вовняні термоштани із мінімальною кількістю швів тонкої товщини. Вони легкі, зручні та мають посилені до стирання зони. Термоштани не викликають алергічних реакцій, добре поглинають вологу, не сприяють утворенню неприємного запаху. Підійдуть для використання під час активного руху та для найрізноманітніших видів спорту.

Особливості:
	- укріплена структура у зоні бедер та колін
	- натуральні матеріали
	- забезпечує захист від бактерій та утворення неприємного запаху
	- забезпечує оптимальну терморегуляцію

Матеріал: 70% merino mool, 30% polyamide/nylon
Товщина: тонка (120 г/м2)
"
Термоштани Lasting Werono,2 098 грн,"
	Товсті вовняні термоштани із мінімальною кількістю швів.

	Вони легкі, зручні та мають посилені до стирання зони. Термоштани не викликають алергічних реакцій, добре поглинають вологу, не сприяють утворенню неприємного запаху. Підійдуть для використання під час активного руху та для найрізноманітніших видів спорту.

Особливості:
	- пласкі шви
	- укріплена структура у зоні бедер та колін
	- забезпечує посилений захист м'язів під час фізичного навантаження
	- не сковує рухи під час занять спортом
	- швидко відводить вологу від тіла
	- натуральні матеріали
	- забезпечує захист від бактерій та утворення неприємного запаху
	- забезпечує оптимальну терморегуляцію

Матеріал: 80% merino wool, 17% polypropylene, 3% elastane
Товщина: товста (300 г/м2)
"
Термоштани Lasting Wicy ,2 742 грн,"
	Чоловічі шерстяні (шерсть меріно) термоштани від бренду Lasting. Штани посилені подвійною в'язкою в верхній частині. Добре зберігають тепло, забезпечують швидке випаровування поту та ідеальну сухість шкіри під час занять спортом або іншими активностями. Штани м`які та приємні на дотик, «не колються», довго зберігають свіжість. Плоскі шви не натирають та дарують повну свободу рухів. Можна використовувати як перший шар одягу у холодний та морозний період.

Призначення: місто, трекінг, зимові види спорту, полювання, рибальство.

Детальніше про шерстяну термобілизну Lasting...

Особливості:
	- подвійна в'язка в верхній частині
	- терморегулюючі властивості (за рахунок повітряних каналів)
	- добре поглинає вологу (30% від власної ваги)
	- зігріває навіть, якщо волога
	- м'яка, приємна на дотик
	- не має неприємного запаху після використання
	- висока повітропроникність та легкість матеріалу
	- тонкий плоский шов
	- супертонке шерстяне волокно (16 мікрон) не колеться
	- важкозаймиста

	Рекомендується купувати в комбінації з термофутболкою Wity

Технічні характеристики:
	Матеріал: 100% шерсть (Merino wool 260 g Double Heavy)

Матеріали і технології:
Woolsens Double Heavy (260 g) - 100% merino wool, двошаровий матеріал, товщина нитки 16 мікрон. Двошаровий матеріал годиться в якості першого шару при холодній погоді або другого шару при морозі. Термобілизна виготовлена з цього виду шерсті не лише виводить вологу, але і тримає тепло.
Merino wool - високоякісна тонка пряжа з шерсті австралійських овець-мериносів гарантує відмінні теплові характеристики, суху шкіру і контроль над вологою. Крім того, ця пряжа швидко вбирає вологу і не подразнює шкіру.



	 
"
Термоштани Lasting Wrak Mns,1 838 грн,"
Lasting Wrak Mn`s - чоловічі термоштани. Зовні виготовлені із поліестеру-поліаміду, а всередині – 100% вовна мерінос (18 мікрон). Поліестер-поліамід забезпечує швидкий відвід вологи та продовжує термін експлуатації виробу, а вовна не вбирає неприємні запахи, зігріває і створює оптимальний мікроклімат, як в жарких, так і холодних умовах. Крій класичний, усі шви плоскі – не натирають. Термоштани підходять як базовий шар одягу протягом осені-зими.

Особливості:
	- чоловічі
	- із легкої та приємної на дотик вовни меріноса та поліестеру-поліаміду
	- швидкий відвід вологи
	- не вбирають неприємні запахи
	- повітропроникність
	- комфортний мікроклімат
	- класичний крій
	- плоскі шви
	- базовий шар протягом осені-зими

Технічні характеристики:
	Матеріал: 55% вовна мерінос, 23% поліестер, 22% поліамід
	Товщина: 210г/ м²

Матеріали та технології:
Merino wool - вовна породи овець, яку розводять в горах Австралії та Нової Зеландії. Має унікальні властивості, які допомагають використовувати її як влітку, так і взимку. Її волокна дуже тонкі (5 волокон, як одна людська волосина). Мерінос залишає речі свіжими довше і дозволяє вбирати вологу (до 30% від власної ваги) і відводити її, а також зігрівати у вологому стані.
	 
"
Термоштани Lasting Wulk,1 925 грн,"
	Теплі чоловічі шерстяні термоштани з додаванням сілтексу та еластану.
	Підійде для використання в місті, мисливства, рибальства. 
	Термобілизна має анатомічно розташовані зони, які забезпечують вентиляцію і швидке випаровування вологи в місцях підвищеної пітливості. Мінімальна кількість швів та анатомічна форма забезпечують максимальний комфорт та свободу руху. Підійде в якості нижнього шару одягу при низьких температурах.

Застосування: місто, мисливство, рибальство

Матеріал: 80% шерсть, 17% сілтекс (поліпропілен), 3% еластан 

Детальніше про шерстяну термобілизну Lasting...

Особливості:
	- товста термобілизна (200 г/м2)
	- анатомічно розташовані зони
	- мінімальна кількість швів
	- терморегулюючі властивості (за рахунок повітряних каналів)
	- добре поглинає вологу (30% від власної ваги)
	- зігріває навіть, якщо волога
	- м'яка, приємна на дотик
	- не має неприємного запаху після використання
	- висока повітропроникність та легкість матеріалу
	- тонкий плоский шов
	- супертонке шерстяне волокно (16 мікрон) не колеться
	- важкозаймиста

	Рекомендується купувати в комбінації з термофутболкою Wolf

Матеріали і технології:

	Шерсть Merino ""superfine"" Woolsens отримують від спеціально вирощених австралійських овець-мериносів. Завдяки діаметру волокна 16 мікрометрів (мікронів, μм), ця шерсть Merino володіє кращими ізоляційними властивостями і повітропроникністю, ніж звичайна шерсть. Вона м'якша і ніжніша на дотик. Завдяки унікальному натуральному складу шерстяного волокна, що запобігає розвитку бактерій, білизна Woolsens не має запаху навіть після довготривалого використання. Білизна Woolsens спеціально оброблена для можливого висушування в сушильній машині.

Головні причини, з яких варто обрати шерстяну білизну Woolsens:
	- 100% натуральний матеріал
	- висока повітропроникність
	- максимальний комфорт завдяки відмінному вологовідведенню
	- м'яка шерсть Merino не колеться і не викликає свербіж
	- відмінна теплоізоляція завдяки великій кількості дрібних повітряних кишень між волокнами
	- плоскі шви для більшого комфорту
	- натуральне шерстяне волокно має більш високу вогнетривкість в порівнянні з синтетичними волокнами
	- обробка матеріалу і висока еластичність забезпечують свободу руху

Siltex - штучне волокно, що володіє надзвичайно низькою здатністю вбирати вологу. Разом з тим, завдяки виключно гладкій поверхні, волокна забезпечують за рахунок капілярного ефекту максимально швидкий і ефективний відвід виділеної організмом вологи від тіла. Ваша шкіра залишиться сухою навіть при підвищених фізичних навантаженнях. Волокно Siltex відрізняється низькою питомою теплопровідністю, що дозволяє підтримувати ідеальний тепловий режим вашої термобілизни навіть в умовах низьких температур.

Seamless (Безшовна) - функціональна білизна з анатомічно розташованими зонами, які забезпечують вентиляцію і швидке випаровування поту в місцях підвищеної пітливості. Відмінне облягання тіла сприяє функціональності і забезпечує оптимальну теплорегуляцію. Мінімальна кількість швів та анатомічна форма забезпечують максимальний комфорт і рухливість під час занять спортом.
	 
"
Термоштани Alpine Pro Krios 6,889 грн,"
	Чоловічі функціональні штани Krios 6 виготовлені ​​з теплого, еластичного, дихаючого і легкосохнучого матеріалу. Швидко поглинають вологу й відводять її від тіла, тим самим покращуючи терморегуляцію. Мають анатомічний крій, який щільно облягає тіло, й плоскі шви, тому не обмежуватиме ваш рух. Рекомендовано поєднувати з футболкою Krathis 6.

Призначення: піший туризм, нордична ходьба, гірськолижний спорт, сноубординг, місто.

Особливості:
	- теплий, еластичний, дихаючий матеріал
	- швидко поглинають і відводить вологу
	- плоскі шви
	- щільно облягаючий крій
	- перешкоджають утворенню неприємного запаху

Технічні характеристики:
	Матеріал: 65% Polyester 27% Nylon 8% Elastane
	Крій: Slim Fit
	 
"
Термоштани Lasting JWP,1 225 грн,"
	Чоловічі термоштани середньої товщини з матеріалу з комбінацією шерсті та поліпропілену.
	Термобілизна підійде для використання у місті, для катання на лижах із зупинками, а також для мисливства та рибальства.
	Швидко виводить вологу з поверхні шкіри та зберігає тепло під час активного заняття спортом або іншою рухомою діяльністю. Підійде в якості першого шару одягу в холодну погоду чи єдиного шару в теплу погоду.

Застосування: місто, трекінг, зимові види спорту, полювання, рибальство

Матеріал: 70% siltex (поліпропілен), 30% шерсть

Особливості:
	- середньої товщини (Climasens 180 г/м2)
	- ребриста структура
	- тонкий плоский шов
	- м'яка, еластична
	- терморегулюючі властивості
	- швидко сохне
	- циркуляція повітря та вологовідведення
	- Stop Bacteria - запобігає розмноженню бактерій та появі неприємного запаху

	Рекомендується купувати в комбінації з термофутболкою SWU

Матеріали і технології: 

Climasens (150 g) - 70% поліпропілен, 30% merino wool
	Функціональна термобілизна ребристої структури, внутрішня сторона якої це комбінація merino wool і поліпропілену. Поліпропілен забезпечує виведення вологи з поверхні вашого тіла через верхні шари тканини білизни. Merino wool покращує термоізоляційний властивості, а саме зігріває в холодну погоду і охолоджує в теплу. Climasens на 50% легший за бавовну.

Merino wool - високоякісна тонка пряжа з шерсті австралійських овець-мериносів гарантує відмінні теплові характеристики, суху шкіру і контроль над вологою. Крім того, ця пряжа швидко вбирає вологу і не подразнює шкіру.
	 
"
Термоштани 3/4 X-Bionic Energy Accumulator Evo Melange Medium,4 448 грн,"
	Чоловічі термоштани ¾ Energy Accumulator®EVO Melange призначені для використання в широкому діапазоні зовнішньої температури при різній фізичній активності, від мінімальної до максимальної. Для виготовлення тканини застосовується інноваційний матеріал Skin NODOR™, що володіє відмінною теплоізоляцією і повітропроникністю. Наявність в матеріалі неорганічного компаунда (полімерної смоли) з іонами антибактеріальної речовини, перешкоджає розмноженню бактерій і поширенню неприємного запаху поту.
	У виробі покращена конструкція зон, які відповідають за регуляцію вологообміну в частинах тіла, схильних до підвищеного потовиділення (3D-BionicSphere® System ), що в поєднанні з вбудованою технологією повітряних каналів (AirConditioning Channel®) і високим рівнем часткової компресії (X-BIONIC® Partial Kompression® ) забезпечує найбільший комфорт при найвищих навантаженнях.

Призначення: біг, вело, мультиспорт, зимові види спорту.

Матеріал: 80% Skin NODOR® 6% Elastane 14% Mythlan™

Skin NODOR® Nano-Technology - нановолокно з бактеріостатичними і гіпоалергенними властивостями.

Mythlan®- це ультралегка дихаюча тканина з антибактеріальними властивостями, яка дозволяє повітрю вільно циркулювати та забезпечує чудову терморегуляцію.

Технічні характеристики:
	Унікальна система терморегуляції 3D-BionicSphere®System охолоджує під час фізичної активності та зігріває, коли ви відпочиваєте. Завдяки тривимірній системі каналів потік свіжого повітря, що циркулює в тканині, працює як шлюз. Ефективно регулює температуру тіла і підтримує її на постійному рівні. Зайве тепло і волога виводиться назовні, змінюючись свіжим повітрям.

SweatTraps - система заощадження енергії організму, яка керує процесом ефективного охолодження в областях підвищеного потовиділення: пахви, груди, спина, поперек. Вловлює зайвий піт перш, ніж ви починаєте його відчувати. Залишає на шкірі надтонкий шар вологи для ефективного охолодження .

AirConditioning Channel® & AirGuides™ - технологія покращення вентиляції тіла. Захищає тіло від перегріву, ефективно відводячи тепло і вологу по спеціальних каналах. Транспортує свіже повітря до ділянок тіла, недоступним для природної вентиляції.

	Нова революційна технологія часткової компресії X-Bionic® Partial Kompression™ефективно підтримує м'язи і запобігає їх вібрації (тремтінню). При цьому не порушується циркуляція крові в підшкірних шарах і стимулюється процес насичення м'язів киснем і корисними речовинами, таким чином, організм більш ефективно захищається від перегрівання.

Компресія: висока.

Ізоляція: товста.

Сезон: демісезонний період, зима.
"
